Country,Capital City,Latitude,Longitude,Population,Capital Type
蒙古,乌兰巴托,47.9077,106.8832,1520381,Capital
黑山,波德戈里察,42.4411,19.2636,177177,Capital
蒙特塞拉特,布莱兹,16.7918,-62.2106,472,Capital
摩洛哥,拉巴特,34.0133,-6.8326,1846661,Capital
莫桑比克,马普托,-25.9653,32.5892,1101771,Capital
缅甸,内比都,19.7450,96.1297,500218,Capital
纳米比亚,温得和克,-22.5594,17.0832,404280,Capital
瑙鲁,亚伦,-0.5308,166.9112,11312,Capital
尼泊尔,加德满都,27.7017,85.3206,1329732,Capital
荷兰,阿姆斯特丹,52.3740,4.8897,1131690,Capital
新喀里多尼亚,努美阿,-22.2763,166.4572,197787,Capital
新西兰,惠灵顿,-41.2866,174.7756,411346,Capital
尼加拉瓜,马那瓜,12.1328,-86.2504,1047923,Capital
尼日尔,尼亚美,13.5137,2.1098,1213781,Capital
尼日利亚,阿布贾,9.0574,7.4898,2918518,Capital
纽埃,阿洛菲,-19.0585,-169.9213,727,Capital
北马里亚纳群岛,塞班,15.2123,145.7545,50568,Capital
挪威,奥斯陆,59.9127,10.7461,1012225,Capital
阿曼,马斯喀特,23.6139,58.5922,1446563,Capital
巴基斯坦,伊斯兰堡,33.7035,73.0594,1061412,Capital
帕劳,科罗尔,7.3426,134.4789,11410,Capital
巴拿马,巴拿马城,8.9958,-79.5196,1783490,Capital
巴布亚新几内亚,莫尔兹比港,-9.4431,147.1797,366862,Capital
巴拉圭,亚松森,-25.3007,-57.6359,3222199,Capital
秘鲁,利马,-12.0432,-77.0282,10390607,Capital
菲律宾,马尼拉,14.6042,120.9822,13482468,Capital
波兰,华沙,52.2298,21.0118,1767798,Capital
葡萄牙,里斯本,38.7169,-9.1399,2927316,Capital
波多黎各,圣胡安,18.4663,-66.1057,2454337,Capital
卡塔尔,多哈,25.2747,51.5245,633401,Capital
韩国,首尔,37.5683,126.9778,9963497,Capital
摩尔多瓦,基希讷乌,47.0056,28.8575,509707,Capital
留尼汪,圣但尼,-20.8823,55.4504,147209,Capital
罗马尼亚,布加勒斯特,44.4328,26.1043,1821380,Capital
俄罗斯,莫斯科,55.7550,37.6218,12409738,Capital
卢旺达,基加利,-1.9474,30.0579,1057836,Capital
圣赫勒拿,詹姆斯敦,-15.9387,-5.7168,603,Capital
圣基茨和尼维斯,巴斯特尔,17.2948,-62.7261,14434,Capital
圣卢西亚,卡斯特里,14.0060,-60.9910,22258,Capital
圣皮埃尔和密克隆,圣皮埃尔,46.7738,-56.1815,5723,Capital
圣文森特和格林纳丁斯,金斯敦,13.1587,-61.2248,26636,Capital
萨摩亚,阿皮亚,-13.8333,-171.7667,36066,Capital
圣马力诺,圣马力诺市,43.9333,12.4500,4465,Capital
圣多美和普林西比,圣多美,0.3365,6.7273,80099,Capital
沙特阿拉伯,利雅得,24.6905,46.7096,6906595,Capital
塞内加尔,达喀尔,14.6937,-17.4441,2978419,Capital
塞尔维亚,贝尔格莱德,44.8176,20.4633,1389351,Capital
塞舌尔,维多利亚,-4.6167,55.4500,28091,Capital
塞拉利昂,弗里敦,8.4840,-13.2299,1135949,Capital
新加坡,新加坡,1.2897,103.8501,5791901,Capital
荷属圣马丁,菲利普斯堡,18.0260,-63.0458,40552,Capital
斯洛伐克,布拉迪斯拉发,48.1482,17.1067,429920,Capital
斯洛文尼亚,卢布尔雅那,46.0511,14.5051,286491,Capital
所罗门群岛,霍尼亚拉,-9.4333,159.9500,81801,Capital
索马里,摩加迪沙,2.0416,45.3435,2081624,Capital
南非,开普敦,-33.9258,18.4232,4430367,Legislative Capital
南苏丹,朱巴,4.8517,31.5825,368914,Capital
西班牙,马德里,40.4165,-3.7026,6497124,Capital
斯里兰卡,科伦坡,6.9319,79.8478,599821,Capital
巴勒斯坦,耶路撒冷,31.7834,35.2339,275086,Capital
苏丹,喀土穆,15.5518,32.5324,5534079,Capital
苏里南,帕拉马里博,5.8664,-55.1668,239457,Capital
斯威士兰,姆巴巴纳,-26.3167,31.1333,68010,Capital
瑞典,斯德哥尔摩,59.3326,18.0649,1582968,Capital
